text,iodine,vitamin_e,calcium,iron,riboflavin_b2,folate_b9,vitamin_c,vitamin_b6,vitamin_d,zinc
coordination issues vision problems muscle weakness nerve damage hair loss slow growth frequent infections muscle weakness bone pain low sunlight patient visited clinic yesterday,0,1,0,0,0,0,0,0,1,1
not frequent infections hair loss brittle nails tooth decay bone weakness muscle cramps mild headache after travel,0,0,1,0,0,0,0,0,0,0
pregnancy issues fatigue depression irritability hormone imbalance weight gain fatigue neck enlargement goiter thyroid swelling routine checkup,1,0,0,0,0,1,0,1,0,0
without muscle weakness back pain fractures low sunlight no brittle nails joint stiffness muscle cramps dizziness anemia low hemoglobin,0,0,0,1,0,0,0,0,0,0
poor diet fatigue anemia cracked lips skin rash fatigue routine checkup,0,0,0,0,1,1,0,0,0,0
bone weakness tooth decay patient visited clinic yesterday,0,0,1,0,0,0,0,0,0,0
skin rash fatigue cracked lips eye irritation goiter thyroid swelling weight gain no weakness fatigue mild headache after travel,1,0,0,0,1,0,0,0,0,0
without anemia poor diet fatigue pregnancy issues mild headache after travel,0,0,0,0,0,0,0,0,0,0
joint pain scurvy slow healing no prior illness reported,0,0,0,0,0,0,1,0,0,0
muscle cramps tooth decay sore throat fatigue,0,0,1,0,1,0,0,0,0,0
slow healing scurvy weak immunity joint pain fatigue sore throat eye irritation skin rash,0,0,0,0,1,0,1,0,0,0
skin rash fatigue eye irritation low sunlight bone pain,0,0,0,0,1,0,0,0,1,0
fatigue sore throat eye irritation mild headache after travel,0,0,0,0,1,0,0,0,0,0
anemia fatigue bone weakness tooth decay joint stiffness muscle cramps brittle nails,0,0,1,0,0,1,0,0,0,0
bone pain fractures low sunlight muscle weakness confusion depression mood changes muscle weakness vision problems immune weakness mild headache after travel,0,1,0,0,0,0,0,1,1,0
pale skin shortness of breath dizziness anemia low hemoglobin fatigue immune weakness coordination issues muscle weakness vision problems bone pain fractures low sunlight,0,1,0,1,0,0,0,0,1,0
confusion depression irritability without frequent infections slow growth loss of appetite hair loss poor immunity,0,0,0,0,0,0,0,1,0,0
sore throat fatigue patient visited clinic yesterday,0,0,0,0,1,0,0,0,0,0
fractures back pain muscle weakness bone pain low sunlight coordination issues nerve damage muscle weakness vision problems fatigue dizziness no prior illness reported,0,1,0,1,0,0,0,0,1,0
irritability mood changes nerve issues depression not weight gain goiter neck enlargement hormone imbalance mild headache after travel,0,0,0,0,0,0,0,1,0,0
no muscle weakness vision problems immune weakness coordination issues shortness of breath low hemoglobin anemia fatigue dizziness pale skin routine checkup,0,0,0,1,0,0,0,0,0,0
mood changes confusion depression nerve issues not poor immunity frequent infections slow growth no prior illness reported,0,0,0,0,0,0,0,1,0,0
mood changes confusion irritability general discomfort,0,0,0,0,0,0,0,1,0,0
no low sunlight bone pain routine checkup,0,0,0,0,0,0,0,0,0,0
bone pain low sunlight back pain fractures patient visited clinic yesterday,0,0,0,0,0,0,0,0,1,0
fatigue shortness of breath pale skin patient visited clinic yesterday,0,0,0,1,0,0,0,0,0,0
hormone imbalance neck enlargement thyroid swelling sore throat cracked lips,1,0,0,0,1,0,0,0,0,0
sore throat eye irritation not coordination issues nerve damage patient visited clinic yesterday,0,0,0,0,1,0,0,0,0,0
not nerve issues mood changes depression confusion irritability,0,0,0,0,0,0,0,0,0,0
tooth decay bone weakness brittle nails no prior illness reported,0,0,1,0,0,0,0,0,0,0
without shortness of breath fatigue no prior illness reported,0,0,0,0,0,0,0,0,0,0
irritability depression nerve issues mood changes patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,0
weakness poor diet anemia fatigue muscle weakness coordination issues vision problems nerve damage anemia dizziness shortness of breath fatigue low hemoglobin pale skin routine checkup,0,1,0,1,0,1,0,0,0,0
back pain muscle weakness bone pain low sunlight shortness of breath dizziness anemia bone weakness tooth decay joint stiffness general discomfort,0,0,1,1,0,0,0,0,1,0
slow healing scurvy bleeding gums weak immunity poor immunity slow growth loss of appetite no prior illness reported,0,0,0,0,0,0,1,0,0,1
not bleeding gums joint pain weak immunity no prior illness reported,0,0,0,0,0,0,0,0,0,0
not muscle weakness back pain bone pain low sunlight fractures tooth decay bone weakness coordination issues muscle weakness vision problems immune weakness no prior illness reported,0,1,1,0,0,0,0,0,0,0
irritability nerve issues no fractures bone pain back pain tooth decay muscle cramps brittle nails joint stiffness bone weakness general discomfort,0,0,1,0,0,0,0,1,0,0
low sunlight fractures bone pain back pain muscle weakness nerve issues depression confusion irritability mood changes mild headache after travel,0,0,0,0,0,0,0,1,1,0
not muscle cramps joint stiffness bone weakness brittle nails tooth decay bone pain muscle weakness low sunlight thyroid swelling hormone imbalance routine checkup,1,0,0,0,0,0,0,0,1,0
without fractures muscle weakness low sunlight muscle weakness vision problems nerve damage general discomfort,0,1,0,0,0,0,0,0,0,0
depression nerve issues mood changes confusion irritability without pale skin low hemoglobin dizziness anemia back pain muscle weakness bone pain low sunlight general discomfort,0,0,0,0,0,0,0,1,1,0
tooth decay muscle cramps brittle nails joint stiffness bone weakness muscle weakness coordination issues without hormone imbalance thyroid swelling goiter general discomfort,0,1,1,0,0,0,0,0,0,0
tooth decay joint stiffness slow healing bleeding gums scurvy weak immunity,0,0,1,0,0,0,1,0,0,0
frequent infections hair loss,0,0,0,0,0,0,0,0,0,1
weight gain neck enlargement goiter no scurvy joint pain bleeding gums mood changes confusion,1,0,0,0,0,0,0,1,0,0
mood changes irritability anemia low hemoglobin fatigue patient visited clinic yesterday,0,0,0,1,0,0,0,1,0,0
sore throat eye irritation fatigue nerve issues mood changes irritability confusion depression general discomfort,0,0,0,0,1,0,0,1,0,0
bleeding gums joint pain scurvy poor diet anemia weakness general discomfort,0,0,0,0,0,1,1,0,0,0
dizziness fatigue pale skin low hemoglobin eye irritation cracked lips fatigue routine checkup,0,0,0,1,1,0,0,0,0,0
slow growth poor immunity loss of appetite,0,0,0,0,0,0,0,0,0,1
fractures bone pain mild headache after travel,0,0,0,0,0,0,0,0,1,0
joint stiffness bone weakness muscle cramps brittle nails neck enlargement fatigue thyroid swelling weight gain hormone imbalance,1,0,1,0,0,0,0,0,0,0
cracked lips eye irritation hormone imbalance weight gain goiter fatigue thyroid swelling without bone pain low sunlight back pain muscle weakness fractures general discomfort,1,0,0,0,1,0,0,0,0,0
weak immunity bleeding gums slow healing scurvy joint pain mood changes confusion irritability joint stiffness muscle cramps,0,0,1,0,0,0,1,1,0,0
back pain low sunlight fractures bone pain joint stiffness tooth decay brittle nails bone weakness muscle cramps,0,0,1,0,0,0,0,0,1,0
mood changes irritability depression confusion skin rash cracked lips sore throat,0,0,0,0,1,0,0,1,0,0
fatigue anemia low hemoglobin shortness of breath pale skin dizziness sore throat fatigue skin rash,0,0,0,1,1,0,0,0,0,0
skin rash fatigue eye irritation sore throat cracked lips without vision problems nerve damage fatigue poor diet no prior illness reported,0,0,0,0,1,1,0,0,0,0
not poor immunity slow growth hair loss frequent infections weakness pregnancy issues fatigue,0,0,0,0,0,1,0,0,0,0
neck enlargement weight gain hormone imbalance goiter thyroid swelling,1,0,0,0,0,0,0,0,0,0
fatigue pregnancy issues,0,0,0,0,0,1,0,0,0,0
joint pain bleeding gums scurvy slow healing weak immunity skin rash eye irritation sore throat cracked lips,0,0,0,0,1,0,1,0,0,0
muscle weakness coordination issues bone pain muscle weakness back pain low sunlight no irritability nerve issues confusion mild headache after travel,0,1,0,0,0,0,0,0,1,0
muscle weakness fractures low sunlight back pain fatigue poor diet pregnancy issues,0,0,0,0,0,1,0,0,1,0
weak immunity bleeding gums joint pain scurvy slow healing fatigue anemia dizziness shortness of breath pale skin low hemoglobin mild headache after travel,0,0,0,1,0,0,1,0,0,0
hair loss slow growth fatigue low hemoglobin anemia shortness of breath pale skin fatigue poor diet anemia pregnancy issues mild headache after travel,0,0,0,1,0,1,0,0,0,1
dizziness anemia shortness of breath low hemoglobin weight gain goiter neck enlargement fatigue routine checkup,1,0,0,1,0,0,0,0,0,0
immune weakness nerve damage muscle weakness vision problems fractures low sunlight back pain routine checkup,0,1,0,0,0,0,0,0,1,0
hair loss loss of appetite general discomfort,0,0,0,0,0,0,0,0,0,1
muscle weakness low sunlight fractures routine checkup,0,0,0,0,0,0,0,0,1,0
without mood changes depression irritability nerve issues confusion frequent infections loss of appetite poor immunity skin rash fatigue sore throat cracked lips eye irritation mild headache after travel,0,0,0,0,1,0,0,0,0,1
fractures bone pain anemia poor diet routine checkup,0,0,0,0,0,1,0,0,1,0
bone pain fractures muscle weakness,0,0,0,0,0,0,0,0,1,0
no fatigue neck enlargement weight gain hormone imbalance,0,0,0,0,0,0,0,0,0,0
scurvy slow healing weak immunity joint pain bleeding gums no prior illness reported,0,0,0,0,0,0,1,0,0,0
anemia dizziness fatigue joint pain bleeding gums slow healing,0,0,0,1,0,0,1,0,0,0
not irritability confusion mood changes depression brittle nails muscle cramps mild headache after travel,0,0,1,0,0,0,0,0,0,0
muscle weakness immune weakness mild headache after travel,0,1,0,0,0,0,0,0,0,0
weak immunity scurvy bleeding gums,0,0,0,0,0,0,1,0,0,0
without weight gain goiter neck enlargement hormone imbalance fatigue dizziness anemia shortness of breath not nerve damage coordination issues general discomfort,0,0,0,1,0,0,0,0,0,0
without bone weakness joint stiffness hormone imbalance thyroid swelling goiter neck enlargement general discomfort,1,0,0,0,0,0,0,0,0,0
confusion irritability general discomfort,0,0,0,0,0,0,0,1,0,0
poor immunity slow growth frequent infections hair loss,0,0,0,0,0,0,0,0,0,1
fatigue neck enlargement hormone imbalance goiter general discomfort,1,0,0,0,0,0,0,0,0,0
bleeding gums scurvy slow healing weak immunity general discomfort,0,0,0,0,0,0,1,0,0,0
not nerve issues mood changes confusion,0,0,0,0,0,0,0,0,0,0
bone pain muscle weakness fatigue cracked lips sore throat without joint stiffness tooth decay bone weakness muscle cramps brittle nails routine checkup,0,0,0,0,1,0,0,0,1,0
nerve issues irritability mood changes scurvy slow healing bleeding gums weak immunity,0,0,0,0,0,0,1,1,0,0
without vision problems muscle weakness muscle cramps joint stiffness,0,0,1,0,0,0,0,0,0,0
joint stiffness brittle nails,0,0,1,0,0,0,0,0,0,0
poor diet pregnancy issues weakness muscle weakness low sunlight bone pain back pain routine checkup,0,0,0,0,0,1,0,0,1,0
without skin rash fatigue nerve issues irritability depression confusion poor immunity hair loss slow growth patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,1
not goiter hormone imbalance thyroid swelling routine checkup,0,0,0,0,0,0,0,0,0,0
skin rash cracked lips sore throat,0,0,0,0,1,0,0,0,0,0
muscle weakness fractures back pain tooth decay bone weakness brittle nails muscle cramps general discomfort,0,0,1,0,0,0,0,0,1,0
vision problems coordination issues muscle weakness bone pain back pain low sunlight no prior illness reported,0,1,0,0,0,0,0,0,1,0
vision problems muscle weakness coordination issues immune weakness nerve damage bone weakness brittle nails muscle cramps,0,1,1,0,0,0,0,0,0,0
joint pain scurvy weak immunity fatigue eye irritation mild headache after travel,0,0,0,0,1,0,1,0,0,0
fatigue neck enlargement without scurvy weak immunity pregnancy issues fatigue poor diet no prior illness reported,1,0,0,0,0,1,0,0,0,0
tooth decay bone weakness muscle cramps no prior illness reported,0,0,1,0,0,0,0,0,0,0
no dizziness anemia shortness of breath low hemoglobin fatigue pale skin no prior illness reported,0,0,0,0,0,0,0,0,0,0
fatigue skin rash eye irritation,0,0,0,0,1,0,0,0,0,0
weakness anemia general discomfort,0,0,0,0,0,1,0,0,0,0
dizziness anemia pale skin low hemoglobin shortness of breath fatigue cracked lips sore throat eye irritation bleeding gums joint pain weak immunity mild headache after travel,0,0,0,1,1,0,1,0,0,0
vision problems muscle weakness immune weakness nerve damage coordination issues tooth decay muscle cramps bone weakness weak immunity slow healing bleeding gums joint pain,0,1,1,0,0,0,1,0,0,0
hair loss frequent infections loss of appetite,0,0,0,0,0,0,0,0,0,1
coordination issues vision problems nerve damage not slow healing joint pain nerve issues mood changes irritability confusion depression routine checkup,0,1,0,0,0,0,0,1,0,0
fatigue pregnancy issues weakness fatigue weight gain goiter neck enlargement poor immunity frequent infections no prior illness reported,1,0,0,0,0,1,0,0,0,1
nerve issues depression irritability,0,0,0,0,0,0,0,1,0,0
fatigue shortness of breath pale skin low hemoglobin bone weakness tooth decay muscle weakness fractures low sunlight back pain bone pain patient visited clinic yesterday,0,0,1,1,0,0,0,0,1,0
no scurvy slow healing bleeding gums weak immunity mood changes irritability sore throat cracked lips eye irritation skin rash,0,0,0,0,1,0,0,1,0,0
poor diet fatigue pregnancy issues weakness anemia,0,0,0,0,0,1,0,0,0,0
slow growth loss of appetite poor immunity frequent infections mild headache after travel,0,0,0,0,0,0,0,0,0,1
skin rash eye irritation no thyroid swelling weight gain goiter no bleeding gums joint pain general discomfort,0,0,0,0,1,0,0,0,0,0
not poor immunity loss of appetite hair loss slow healing joint pain scurvy bleeding gums muscle weakness fractures general discomfort,0,0,0,0,0,0,1,0,1,0
pale skin anemia low hemoglobin no prior illness reported,0,0,0,1,0,0,0,0,0,0
vision problems immune weakness coordination issues muscle weakness nerve issues confusion irritability depression mood changes fractures back pain low sunlight routine checkup,0,1,0,0,0,0,0,1,1,0
anemia weakness without muscle weakness low sunlight patient visited clinic yesterday,0,0,0,0,0,1,0,0,0,0
fatigue anemia low hemoglobin shortness of breath pale skin dizziness,0,0,0,1,0,0,0,0,0,0
hair loss slow growth frequent infections weakness fatigue poor diet pregnancy issues anemia fatigue neck enlargement routine checkup,1,0,0,0,0,1,0,0,0,1
goiter hormone imbalance weight gain neck enlargement fatigue,1,0,0,0,0,0,0,0,0,0
back pain low sunlight bone pain muscle weakness fractures frequent infections slow growth shortness of breath pale skin anemia fatigue low hemoglobin dizziness mild headache after travel,0,0,0,1,0,0,0,0,1,1
goiter weight gain hormone imbalance neck enlargement fatigue slow healing scurvy joint pain bleeding gums weak immunity routine checkup,1,0,0,0,0,0,1,0,0,0
tooth decay brittle nails joint stiffness no prior illness reported,0,0,1,0,0,0,0,0,0,0
weight gain hormone imbalance fatigue thyroid swelling neck enlargement goiter low sunlight bone pain fractures muscle weakness no prior illness reported,1,0,0,0,0,0,0,0,1,0
goiter thyroid swelling weight gain fatigue neck enlargement mood changes depression confusion nerve issues irritability patient visited clinic yesterday,1,0,0,0,0,0,0,1,0,0
irritability depression mood changes nerve issues confusion tooth decay bone weakness joint stiffness,0,0,1,0,0,0,0,1,0,0
low sunlight muscle weakness back pain bone pain fractures skin rash sore throat fatigue eye irritation,0,0,0,0,1,0,0,0,1,0
confusion mood changes irritability nerve issues,0,0,0,0,0,0,0,1,0,0
muscle cramps tooth decay brittle nails bone weakness joint stiffness depression mood changes confusion nerve issues back pain low sunlight bone pain mild headache after travel,0,0,1,0,0,0,0,1,1,0
hair loss poor immunity vision problems coordination issues bone pain back pain no prior illness reported,0,1,0,0,0,0,0,0,1,1
sore throat skin rash fatigue bone pain muscle weakness low sunlight thyroid swelling neck enlargement,1,0,0,0,1,0,0,0,1,0
thyroid swelling weight gain neck enlargement fatigue hormone imbalance goiter cracked lips skin rash fatigue eye irritation pale skin low hemoglobin dizziness fatigue,1,0,0,1,1,0,0,0,0,0
anemia poor diet weakness pregnancy issues fatigue general discomfort,0,0,0,0,0,1,0,0,0,0
skin rash eye irritation cracked lips fatigue patient visited clinic yesterday,0,0,0,0,1,0,0,0,0,0
slow growth frequent infections hair loss without weak immunity scurvy bleeding gums slow healing joint pain neck enlargement goiter thyroid swelling hormone imbalance fatigue,1,0,0,0,0,0,0,0,0,1
fatigue sore throat skin rash cracked lips eye irritation low hemoglobin pale skin,0,0,0,1,1,0,0,0,0,0
no fractures back pain low sunlight bone pain hormone imbalance goiter no fatigue skin rash cracked lips sore throat eye irritation,1,0,0,0,0,0,0,0,0,0
immune weakness nerve damage,0,1,0,0,0,0,0,0,0,0
muscle cramps brittle nails joint stiffness cracked lips eye irritation sore throat fractures back pain bone pain no prior illness reported,0,0,1,0,1,0,0,0,1,0
coordination issues muscle weakness bleeding gums slow healing weak immunity scurvy,0,1,0,0,0,0,1,0,0,0
tooth decay brittle nails anemia dizziness fatigue shortness of breath pale skin without slow growth loss of appetite hair loss frequent infections,0,0,1,1,0,0,0,0,0,0
loss of appetite poor immunity slow growth hair loss fatigue thyroid swelling neck enlargement coordination issues immune weakness vision problems nerve damage muscle weakness,1,1,0,0,0,0,0,0,0,1
slow growth frequent infections poor immunity mild headache after travel,0,0,0,0,0,0,0,0,0,1
loss of appetite hair loss frequent infections pregnancy issues fatigue weakness fractures bone pain low sunlight back pain general discomfort,0,0,0,0,0,1,0,0,1,1
without back pain bone pain slow growth hair loss frequent infections poor immunity pale skin shortness of breath dizziness,0,0,0,1,0,0,0,0,0,1
back pain fractures low sunlight no thyroid swelling weight gain goiter fatigue neck enlargement hormone imbalance slow healing joint pain bleeding gums,0,0,0,0,0,0,1,0,1,0
back pain bone pain fractures low sunlight muscle weakness no hair loss poor immunity slow growth,0,0,0,0,0,0,0,0,1,0
depression confusion irritability bone pain fractures muscle weakness poor immunity hair loss routine checkup,0,0,0,0,0,0,0,1,1,1
weak immunity slow healing mild headache after travel,0,0,0,0,0,0,1,0,0,0
slow growth hair loss frequent infections poor immunity nerve damage immune weakness coordination issues muscle weakness vision problems,0,1,0,0,0,0,0,0,0,1
anemia fatigue pregnancy issues weakness anemia dizziness fatigue shortness of breath pale skin hair loss poor immunity mild headache after travel,0,0,0,1,0,1,0,0,0,1
irritability confusion mood changes nerve issues depression thyroid swelling goiter neck enlargement fatigue scurvy bleeding gums,1,0,0,0,0,0,1,1,0,0
poor diet weakness anemia patient visited clinic yesterday,0,0,0,0,0,1,0,0,0,0
not joint pain bleeding gums slow healing weak immunity scurvy,0,0,0,0,0,0,0,0,0,0
sore throat cracked lips eye irritation skin rash muscle weakness vision problems coordination issues no prior illness reported,0,1,0,0,1,0,0,0,0,0
hair loss poor immunity loss of appetite frequent infections slow growth fatigue anemia general discomfort,0,0,0,1,0,0,0,0,0,1
skin rash eye irritation fatigue cracked lips not bleeding gums scurvy joint pain routine checkup,0,0,0,0,1,0,0,0,0,0
muscle cramps joint stiffness muscle weakness immune weakness vision problems nerve damage coordination issues joint pain weak immunity routine checkup,0,1,1,0,0,0,1,0,0,0
fatigue eye irritation skin rash cracked lips sore throat joint stiffness muscle cramps tooth decay bone weakness general discomfort,0,0,1,0,1,0,0,0,0,0
muscle cramps joint stiffness tooth decay bone weakness nerve damage coordination issues muscle weakness immune weakness vision problems without thyroid swelling neck enlargement patient visited clinic yesterday,0,1,1,0,0,0,0,0,0,0
back pain muscle weakness low sunlight fractures no irritability mood changes depression neck enlargement weight gain fatigue goiter hormone imbalance routine checkup,1,0,0,0,0,0,0,0,1,0
nerve damage coordination issues routine checkup,0,1,0,0,0,0,0,0,0,0
joint pain bleeding gums immune weakness coordination issues thyroid swelling goiter neck enlargement,1,1,0,0,0,0,1,0,0,0
slow healing bleeding gums scurvy joint pain mild headache after travel,0,0,0,0,0,0,1,0,0,0
irritability nerve issues mood changes confusion depression general discomfort,0,0,0,0,0,0,0,1,0,0
dizziness shortness of breath fatigue pale skin fractures muscle weakness muscle weakness nerve damage no prior illness reported,0,1,0,1,0,0,0,0,1,0
frequent infections hair loss loss of appetite slow growth poor immunity pregnancy issues poor diet anemia,0,0,0,0,0,1,0,0,0,1
hormone imbalance neck enlargement fatigue goiter thyroid swelling poor immunity frequent infections slow growth loss of appetite hair loss routine checkup,1,0,0,0,0,0,0,0,0,1
frequent infections hair loss poor immunity muscle cramps bone weakness tooth decay joint stiffness mood changes depression,0,0,1,0,0,0,0,1,0,1
pregnancy issues fatigue poor diet anemia,0,0,0,0,0,1,0,0,0,0
sore throat fatigue,0,0,0,0,1,0,0,0,0,0
coordination issues vision problems no prior illness reported,0,1,0,0,0,0,0,0,0,0
fractures bone pain muscle weakness patient visited clinic yesterday,0,0,0,0,0,0,0,0,1,0
joint stiffness bone weakness brittle nails low sunlight bone pain muscle weakness,0,0,1,0,0,0,0,0,1,0
not brittle nails tooth decay joint stiffness bone weakness,0,0,0,0,0,0,0,0,0,0
dizziness fatigue shortness of breath brittle nails joint stiffness bone weakness,0,0,1,1,0,0,0,0,0,0
without anemia low hemoglobin fatigue shortness of breath dizziness pale skin no depression mood changes confusion irritability no prior illness reported,0,0,0,0,0,0,0,0,0,0
not anemia dizziness shortness of breath fatigue back pain bone pain low sunlight,0,0,0,0,0,0,0,0,1,0
anemia pale skin dizziness fatigue shortness of breath frequent infections poor immunity slow growth hair loss not skin rash eye irritation fatigue patient visited clinic yesterday,0,0,0,1,0,0,0,0,0,1
not fatigue eye irritation poor diet pregnancy issues weakness,0,0,0,0,0,1,0,0,0,0
weight gain hormone imbalance fatigue goiter thyroid swelling muscle cramps bone weakness brittle nails joint stiffness no prior illness reported,1,0,1,0,0,0,0,0,0,0
scurvy joint pain weak immunity bleeding gums slow healing no prior illness reported,0,0,0,0,0,0,1,0,0,0
bone weakness tooth decay brittle nails joint stiffness muscle cramps fatigue dizziness pale skin anemia,0,0,1,1,0,0,0,0,0,0
coordination issues vision problems bleeding gums weak immunity slow healing without irritability mood changes confusion nerve issues no prior illness reported,0,1,0,0,0,0,1,0,0,0
weak immunity joint pain bleeding gums slow healing scurvy poor diet pregnancy issues fatigue anemia weakness mild headache after travel,0,0,0,0,0,1,1,0,0,0
irritability confusion nerve issues mood changes depression skin rash cracked lips mild headache after travel,0,0,0,0,1,0,0,1,0,0
neck enlargement goiter weight gain mild headache after travel,1,0,0,0,0,0,0,0,0,0
brittle nails muscle cramps tooth decay joint stiffness frequent infections loss of appetite slow growth poor immunity patient visited clinic yesterday,0,0,1,0,0,0,0,0,0,1
poor diet weakness pregnancy issues routine checkup,0,0,0,0,0,1,0,0,0,0
muscle weakness nerve damage coordination issues,0,1,0,0,0,0,0,0,0,0
weak immunity scurvy joint pain general discomfort,0,0,0,0,0,0,1,0,0,0
skin rash sore throat loss of appetite slow growth poor immunity hair loss no prior illness reported,0,0,0,0,1,0,0,0,0,1
scurvy bleeding gums slow healing weak immunity joint pain tooth decay brittle nails poor immunity loss of appetite frequent infections,0,0,1,0,0,0,1,0,0,1
no low hemoglobin fatigue dizziness pale skin shortness of breath anemia mild headache after travel,0,0,0,0,0,0,0,0,0,0
muscle cramps tooth decay low hemoglobin anemia shortness of breath fatigue pale skin dizziness,0,0,1,1,0,0,0,0,0,0
nerve damage muscle weakness vision problems coordination issues immune weakness fatigue weakness poor diet anemia pregnancy issues sore throat fatigue skin rash,0,1,0,0,1,1,0,0,0,0
vision problems muscle weakness nerve damage coordination issues immune weakness poor immunity hair loss tooth decay brittle nails mild headache after travel,0,1,1,0,0,0,0,0,0,1
eye irritation cracked lips skin rash sore throat fatigue not weakness pregnancy issues poor diet anemia fatigue tooth decay muscle cramps brittle nails joint stiffness bone weakness general discomfort,0,0,1,0,1,0,0,0,0,0
coordination issues vision problems muscle weakness nerve damage immune weakness,0,1,0,0,0,0,0,0,0,0
not depression nerve issues no pale skin shortness of breath routine checkup,0,0,0,0,0,0,0,0,0,0
sore throat eye irritation fatigue skin rash routine checkup,0,0,0,0,1,0,0,0,0,0
skin rash cracked lips eye irritation sore throat no weakness fatigue poor diet anemia weight gain goiter hormone imbalance neck enlargement fatigue,1,0,0,0,1,0,0,0,0,0
neck enlargement hormone imbalance thyroid swelling goiter weight gain fatigue muscle cramps bone weakness tooth decay joint stiffness,1,0,1,0,0,0,0,0,0,0
no skin rash eye irritation sore throat fatigue cracked lips frequent infections hair loss slow growth poor immunity loss of appetite mild headache after travel,0,0,0,0,0,0,0,0,0,1
brittle nails bone weakness joint stiffness not cracked lips skin rash eye irritation no prior illness reported,0,0,1,0,0,0,0,0,0,0
vision problems nerve damage coordination issues no weakness pregnancy issues fatigue poor diet anemia eye irritation fatigue general discomfort,0,1,0,0,1,0,0,0,0,0
not loss of appetite poor immunity hair loss slow growth bone pain back pain low sunlight fractures muscle weakness routine checkup,0,0,0,0,0,0,0,0,1,0
no frequent infections hair loss loss of appetite no prior illness reported,0,0,0,0,0,0,0,0,0,0
depression nerve issues irritability weakness fatigue poor diet anemia pregnancy issues nerve damage immune weakness coordination issues,0,1,0,0,0,1,0,1,0,0
no nerve damage muscle weakness immune weakness coordination issues slow growth hair loss frequent infections poor immunity loss of appetite fractures muscle weakness,0,0,0,0,0,0,0,0,1,1
confusion mood changes nerve issues general discomfort,0,0,0,0,0,0,0,1,0,0
not fractures back pain muscle weakness,0,0,0,0,0,0,0,0,0,0
neck enlargement fatigue fatigue pale skin shortness of breath immune weakness muscle weakness,1,1,0,1,0,0,0,0,0,0
goiter hormone imbalance neck enlargement weight gain fatigue brittle nails muscle cramps joint stiffness bone weakness tooth decay weak immunity bleeding gums scurvy no prior illness reported,1,0,1,0,0,0,1,0,0,0
fatigue thyroid swelling neck enlargement hormone imbalance weight gain patient visited clinic yesterday,1,0,0,0,0,0,0,0,0,0
mood changes depression no prior illness reported,0,0,0,0,0,0,0,1,0,0
